time_step,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.9518654379400857e-07,0.0006701158631133472,1.4658047875268879e-06,0.0005556297008279121,0.0,0.0,0.0
2,0.0,2.186379812998512e-14,1.6665926870541126e-10,8.675166733787253e-07,0.0020466171854786326,1.9807242951555136e-05,0.0011909746524318933,3.8262405940022865e-07,5.297033917860463e-11,0.0
3,0.0,1.2417751224305988e-13,4.4739023587732663e-10,1.8453644444901917e-06,0.0026473254279009025,2.6673595047343434e-05,0.001622961494636071,9.791036286313651e-07,2.7338563484552027e-10,6.8744002195873514e-15
4,1.7206824341989593e-17,5.567089126786135e-13,1.7087406487983322e-09,3.997631106632493e-06,0.0036156066801226964,4.1492397416330545e-05,0.0022107759915344603,2.1288798190796908e-06,1.0620240072090522e-09,6.942716353261595e-14
5,1.4391029094486952e-16,2.7587910374166672e-12,3.741787542520137e-09,8.385309995195653e-06,0.004279295297245637,5.569964319208986e-05,0.002898173703427211,3.6214619186969096e-06,2.9490701507482156e-09,3.6118400267818734e-13
6,1.0123202168257423e-15,6.858314843564068e-12,8.412343740665838e-09,1.3283484929305583e-05,0.0050078116991895206,7.381321888576113e-05,0.0035562858680049923,6.251287429078938e-06,6.729880460258828e-09,1.5500230489522128e-12
7,4.311751065669702e-15,1.624787099798419e-11,1.72826591985577e-08,2.0250253173318584e-05,0.005719903474407051,9.8772903657833e-05,0.004461878591918949,1.0470998822496068e-05,1.4150705771230476e-08,4.696956531046672e-12
8,1.5858888128292496e-14,4.020007535878655e-11,3.256240877235927e-08,3.1471764519930426e-05,0.006478934048941215,0.00014575193503280393,0.005747424534381351,1.6012737967743736e-05,3.263419427659877e-08,1.3136037512795734e-11
9,4.5087402167844055e-14,7.635735738589138e-11,5.953882772296285e-08,4.108870977359591e-05,0.007413540486087122,0.00018439719756489355,0.0063451240136549025,2.497731853706444e-05,5.074465971997813e-08,3.410868457902228e-11
