time_step,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,6.670097070185635e-07,0.001226815858537514,0.9999968483948972,0.0012291748708790802,0.0,0.0,0.0
2,0.0,1.755016333766146e-13,3.2899684183650757e-10,4.661285469836594e-06,0.004093174876873058,0.9999812106043684,0.004014247900580113,6.416034034403001e-07,3.526700661968989e-10,0.0
3,2.266910421437205e-16,4.769823405139173e-12,6.5213520874509065e-09,1.736894730620438e-05,0.009247530147852547,0.9999277271124973,0.008393288397940625,5.576188965461401e-06,4.379068708275434e-09,2.412849650620344e-13
4,6.362097362058364e-15,3.515588431333274e-11,2.886305696890123e-08,4.6785520657966915e-05,0.015834914700534195,0.9998171292125385,0.014592911643503471,1.8699526328291255e-05,2.4100623210738536e-08,3.998761081727595e-12
5,7.76264928463925e-14,1.7107612373230706e-10,9.858145272170262e-08,0.00010344386590245032,0.023730156681503124,0.999602394524755,0.02253949969363484,4.635143204133911e-05,1.0043950967935602e-07,3.158997970648486e-11
6,4.3187363264059515e-13,6.072908889650598e-10,2.862240451720815e-07,0.0001963962408317449,0.03328049496716447,0.99924653487147,0.03200744148100365,9.930437733566602e-05,2.761756614875423e-07,1.4857934905493314e-10
7,2.2384283679332075e-12,1.949491332847009e-09,7.087443356731e-07,0.00034767948769754217,0.0444249110714171,0.9987004087612597,0.043069066879404344,0.00019057565403047253,7.050341987231836e-07,6.0628715006494e-10
8,9.67320206493654e-12,5.466222627979985e-09,1.599014645966444e-06,0.0005712353285297163,0.05728833001732116,0.9978694884134601,0.056054602434797235,0.00033293484208066427,1.64169251000343e-06,1.8972129543794693e-09
9,2.962851851260092e-11,1.2907613153564191e-08,3.223019629357416e-06,0.0008863497823175644,0.0718724234654842,0.9967333615884071,0.07035928017878974,0.000552258760013474,3.226368601019884e-06,5.260557130121381e-09
10,7.886205665804364e-11,2.725693851811089e-08,5.940176145177449e-06,0.0012913516021305332,0.0872836405362673,0.9952453793367739,0.08533305088630337,0.0008482145231557179,5.780133353905754e-06,1.2537671164781017e-08
11,1.889951365490452e-10,5.347802804788838e-08,1.0120883837159814e-05,0.0018197039296766755,0.1034307441465801,0.9933554482574365,0.1014428950781884,0.0012421524637404122,9.892789553725793e-06,2.6727536631847295e-08
12,4.3775122773952493e-10,1.014259714490919e-07,1.66688529468875e-05,0.0024937676734574157,0.12035126237470495,0.9909729921258106,0.11868711451251562,0.0017404057126536245,1.620041914710082e-05,5.252302786054703e-08
13,9.872853534972441e-10,1.9056142613630297e-07,2.706950530209056e-05,0.0033835603337130206,0.13914791155229358,0.9879262276624912,0.13747223740815778,0.0024199058839360866,2.585399928649497e-05,1.0307974035868528e-07
14,1.9533337775729973e-09,3.2549532118745614e-07,4.1557566397222664e-05,0.004411655770985784,0.1589561116568376,0.9843654471393999,0.15610043158470102,0.0032843402682588498,3.8987068154115094e-05,1.8750063887042947e-07
15,3.7632862525890304e-09,5.410895384260434e-07,6.127036679009268e-05,0.00566037375482102,0.17907909619948503,0.980084290823561,0.1758403290876032,0.004304635524318914,5.806962950789644e-05,3.196229881294619e-07
16,6.936279626928534e-09,8.568812230330413e-07,8.918298079187286e-05,0.007133205805244981,0.20026889214466237,0.9751389149884514,0.1960733988656363,0.00559071370251105,8.318665839800353e-05,5.42124853312817e-07
17,1.2251347194878829e-08,1.3584819720691556e-06,0.00012424047631220148,0.008924941504574894,0.2212572027091866,0.9694064771782313,0.21736584848726176,0.007032806393650247,0.00011880831573228593,8.503863955385499e-07
18,2.0613399665430326e-08,2.0308847953133204e-06,0.00017186139724429864,0.010902320944377254,0.2436711102665115,0.9628168118656226,0.23830711503700697,0.008788865904056923,0.00016376660978778565,1.3128130179322773e-06
19,3.4464621959612394e-08,3.0729607243094752e-06,0.0002333268744678548,0.013308653248746714,0.2655624047130305,0.9554433186871051,0.2600338961253999,0.01081832106554222,0.00022341199422638126,2.0147501798827803e-06
20,5.672670902387561e-08,4.4864484191783076e-06,0.00031114382494793147,0.01599373242957837,0.28763115027727,0.9473061191767457,0.2817560611061659,0.01315036921210434,0.00030032678012842297,2.997250528379318e-06
21,9.164530108399102e-08,6.5435370264590965e-06,0.00040945157771075827,0.019131404311786157,0.30948557951050804,0.9381249555692243,0.3040913099523543,0.015779801809594794,0.0004001195403297719,4.384114565932412e-06
22,1.4675373578759258e-07,9.251375675603715e-06,0.0005410188352194734,0.022588495111669483,0.33236029984662335,0.9279443355501165,0.3259817009784828,0.018935865838637694,0.0005212800841218675,6.508611127415155e-06
23,2.2012885741059248e-07,1.2638555311389532e-05,0.0006893694974247895,0.02622465905664536,0.35422270206492673,0.9174319038853271,0.3467492366837988,0.022247210937608976,0.0006630335073570476,9.051017539694244e-06
24,3.3296821607818335e-07,1.739700671610604e-05,0.0008788723558594192,0.03058298506451072,0.37632803363631506,0.9055264669528721,0.3689545192013807,0.026098553529027516,0.0008475768330408181,1.2668202173071409e-05
25,4.940677343755752e-07,2.3585637489608077e-05,0.0011140022534795522,0.03529904394632457,0.39844912582802644,0.8928625270014353,0.39023261527682507,0.030447880063924872,0.001065382886982077,1.7574157963579183e-05
26,7.097799168001467e-07,3.145369488484453e-05,0.0013868912934448187,0.04045479301646402,0.4202518727048995,0.879383271285385,0.4112590700240845,0.035162340661458576,0.0013256230375314128,2.358280240438756e-05
27,1.0340350979626077e-06,4.2047736987531745e-05,0.0017225090242415683,0.0462901070899849,0.4417003011511105,0.864843900446857,0.4323967829044536,0.04041993338878338,0.0016499334212388055,3.1623894114907294e-05
