time_step,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,2.000461436282232e-06,0.002111014034422119,1.3467088721757529e-05,0.0022492203528179777,0.0,0.0,0.0
2,0.0,1.1661749514835429e-12,1.4035787542184925e-09,1.007623977313274e-05,0.004792337151886125,4.876843852679801e-05,0.0043165273165556885,1.8588514806007944e-06,1.6585691975708323e-09,0.0
3,1.9425789956562458e-15,2.6293188726745117e-11,3.407318770443115e-08,2.9435949587640486e-05,0.009068986572146557,0.00013545449925104596,0.006844417231442456,1.2671425112787558e-05,1.0224223144185978e-08,1.8857759578353433e-12
4,3.6945258345758844e-14,1.543695787309278e-10,8.351327467810951e-08,6.433857510967896e-05,0.01256375676623657,0.0002470359709452972,0.009848309827587451,2.9295960501320074e-05,5.294140638085925e-08,1.524934852993707e-11
5,4.1009490130703e-13,5.34679584012713e-10,2.1296103009685e-07,0.0001279688692071725,0.01644347805261791,0.0005057105161302136,0.014492528147142775,5.946301735605524e-05,2.435019485882765e-07,1.39114073244838e-10
6,1.7404002580628242e-12,1.7282680748782914e-09,6.110764554622259e-07,0.00021453787223297765,0.02104845015030289,0.0008549526715314735,0.018551952270071774,0.00011232510535194973,4.5175975593069765e-07,3.9448297730431636e-10
7,8.704737392168743e-12,4.800509015176059e-09,1.2445291651616422e-06,0.0003603690194180272,0.025029612247518176,0.0013713598358656015,0.023282637522335413,0.0002030874056091728,1.2590627523476466e-06,2.079672497195247e-09
8,3.804855318848132e-11,1.3305543462177018e-08,2.837706511119263e-06,0.0005415604912708231,0.02985140846130279,0.0020060942766658993,0.02840889439659868,0.00030747320425988575,3.0219121030063263e-06,5.455674997465312e-09
9,8.887970643390804e-11,2.688916366882106e-08,5.059492344343186e-06,0.0007708396453983829,0.03397330544737597,0.002623421458810613,0.03295006685404899,0.00046630117754174624,4.870464405438862e-06,1.2515583854831994e-08
10,2.0701241814556407e-10,5.409562210935695e-08,8.251011400583285e-06,0.0010321065472777757,0.039412689102890676,0.003454959437798552,0.036899385633869505,0.000676651801428357,7.547680352545818e-06,2.5910372511924563e-08
11,4.390943252602564e-10,9.166862377879836e-08,1.2542787240783822e-05,0.0013505461730529864,0.044174654259410646,0.004470031823592315,0.041321859354313,0.0009824054584125935,1.2082589338270392e-05,5.2571878221531326e-08
12,9.91428125731013e-10,1.6744089885521388e-07,2.0810377226276304e-05,0.0017757489856147736,0.04906314565430975,0.005797598022077883,0.04615764969944363,0.001288029871771053,1.8336189931259504e-05,9.403392557290222e-08
13,2.436718630541618e-09,3.234698447459521e-07,3.452494752017652e-05,0.002346664025244955,0.05487503954311152,0.007577532634893268,0.04965258717663797,0.0017350995021243121,2.7780557350822072e-05,1.846682737458118e-07
14,4.0992639981688726e-09,5.12586566364162e-07,4.666083759113804e-05,0.002944447528609329,0.05901918917671826,0.009089641176124673,0.053541209703192094,0.002261102343677682,3.889599946657286e-05,2.994517137669235e-07
15,7.304335422052065e-09,7.86073335355543e-07,6.351946339459704e-05,0.0036115720417020537,0.06347229048812118,0.010972141406777255,0.05805073592658039,0.002843308420308359,5.69315373288832e-05,4.777121159136577e-07
16,1.2788163454256966e-08,1.1300038540815667e-06,8.836362948608935e-05,0.004298744401300381,0.06688696460704006,0.01276509481243363,0.06120899978962674,0.00355712465193557,7.554376980559095e-05,8.197973546494466e-07
17,2.1596782089709175e-08,1.7728480265644263e-06,0.00011296136904795472,0.0051642957825234655,0.07078267208933986,0.014751213064762994,0.06438176855435195,0.004249542032542316,0.00010600478478608762,1.1627758368274825e-06
18,3.1808001288681845e-08,2.480036659275304e-06,0.0001429303807381278,0.005994975558255303,0.07389846918810977,0.016681196886874756,0.06807864996433516,0.0049353964426625315,0.00013926430504559854,1.5911944092549146e-06
19,4.8925285956121346e-08,3.546317276633684e-06,0.0001865047987139001,0.007128543332415482,0.07694620010656779,0.019030652128523746,0.07127094137234959,0.005872412126495644,0.000177056820630645,2.3704626936501423e-06
20,8.332689163068712e-08,5.097926838025998e-06,0.00023914437554243764,0.00826527146692164,0.07899929601785179,0.021408922163416246,0.07408969925008163,0.0068532963013347254,0.00024010577722728267,3.3316614671041633e-06
21,1.4035400592477626e-07,7.624337984750324e-06,0.0003143130268250117,0.009761394879811494,0.08207127584698812,0.024348000122961937,0.07714874328736637,0.008103557536178757,0.00032650945739660535,4.848223206626457e-06
22,2.3723987028611672e-07,1.02377632220866e-05,0.0004204430533892549,0.01109715846517596,0.08527019559746848,0.027264065210698733,0.07930969426647111,0.009727034170579638,0.0004097985426118461,8.218533482767875e-06
23,3.6734907526367834e-07,1.3853809611689514e-05,0.0005088924154379324,0.012291849945555999,0.08699881022316579,0.029727206139371708,0.08110725303637827,0.010882179387500855,0.0005184915065747751,1.072798358076816e-05
24,5.241695526836547e-07,1.7646772869696735e-05,0.0006332149964248376,0.013654550783298374,0.08897097956827398,0.03236959168044882,0.0827273131868889,0.012422855018969546,0.0006298850657701764,1.4778868141674066e-05
25,7.291672494577187e-07,2.3010625720664472e-05,0.0007848207713096616,0.015423457047642438,0.09044825601092675,0.03498754392416773,0.08432643427888137,0.01409038674485714,0.0007478565359220218,2.017711211133504e-05
26,9.638129620103368e-07,2.9515130924568944e-05,0.0009292576258520082,0.01703468766027323,0.0914048340865995,0.0371645919546409,0.08529243924533195,0.015412094657311892,0.0008980318987873452,2.453791885329596e-05
27,1.5549363009883196e-06,4.125121438788175e-05,0.0011244351712406734,0.01890139513901228,0.09277900578052395,0.03997085391056941,0.08558357037720335,0.01703034802657194,0.0011667216421993715,3.081712885266222e-05
28,2.0495606569670226e-06,5.294162349036078e-05,0.001332874028786253,0.020800969899017165,0.09324909746413289,0.0422289106956448,0.08583107775285406,0.01875126517989403,0.0013851499679872514,3.885955464527277e-05
