time_step,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.176376982820113e-06,0.000219304499873998,0.9999712235745976,0.010697726259214828,0.0,0.0,0.0
2,0.0,2.2620717356219312e-13,2.0628604271000906e-09,3.4489416596292393e-06,0.005442472019510174,0.9999436085897374,0.013946185140161809,1.8809567800395096e-05,2.062634219926528e-09,0.0
3,0.0,3.3624402651758575e-12,4.206452442940033e-09,1.376597827769515e-05,0.00782620060236696,0.9998656380467916,0.021697461557978713,3.1077153709370685e-05,2.6292145531757757e-08,2.260806146423747e-13
4,8.70278629030504e-16,8.521699884333132e-12,1.0751823822404347e-08,2.2944875082997194e-05,0.010629247141093827,0.9997978428634492,0.02618991013557024,5.068684416670036e-05,5.601256153102292e-08,4.723652336453951e-12
5,7.422630176459268e-15,2.0514779617119884e-11,2.3660900790565e-08,3.6273846580513804e-05,0.013849297204150133,0.9997063391818037,0.031083531000074657,7.773839464188172e-05,1.082019369345737e-07,2.163571320027147e-11
6,3.3023377325070715e-14,4.6225225661187456e-11,4.7020504215605065e-08,5.487591798435646e-05,0.01748063644046406,0.9995860665453158,0.036370907281501344,0.00011377477364564214,1.9407845872442294e-07,6.553145939806896e-11
7,1.0955788843551307e-13,9.760129440587629e-11,8.663757810486127e-08,8.000698907133794e-05,0.02151690602334404,0.9994315268028623,0.042044015457980505,0.00016046825057024344,3.2838822139104996e-07,1.6145913223132757e-10
8,5.934881803851238e-13,2.5262127912813785e-10,3.30539651238952e-07,0.00011957447469831586,0.036018453638612544,0.9990777531529704,0.04806760706665822,0.0003655467227383542,5.974354227124864e-07,9.421242775771275e-10
9,3.5250937648560677e-12,7.764474254751295e-10,1.3122615060089013e-06,0.00018689744556049485,0.06783619494269522,0.9980487660730881,0.054377333053958504,0.0009354925281508973,1.1928157012453411e-06,5.050829443455337e-09
10,4.511984097990084e-11,1.1802084073565616e-08,1.6592004432327098e-06,0.0009598258972436194,0.0752783197094065,0.9959204646530179,0.09950744211237775,0.0010903038829832225,9.988391701270928e-06,6.8023255776564015e-09
11,6.724127626981891e-11,1.5740608183093457e-08,2.5962599851765505e-06,0.0011563506137971472,0.08292828721036004,0.9951110655943654,0.10816037850173901,0.0013199385217610071,1.252531198623453e-05,1.3336074594948798e-08
12,1.0331434807211804e-10,2.131362264664092e-08,3.865409170525704e-06,0.0013816998919668276,0.09087842014802965,0.9941915744553532,0.11708910024516153,0.001582774845427942,1.5631053026710657e-05,2.3242171293657517e-08
13,2.099211210877157e-10,3.807697186880399e-08,5.540523518319928e-06,0.001916768677004278,0.09911615614943604,0.9924643743846524,0.13575832585347658,0.0018816400856895247,2.358779872221408e-05,3.754113240224394e-08
14,3.116671276335283e-10,5.038278315631845e-08,7.897750835017804e-06,0.0022299510859595936,0.10759274006125355,0.9912241910906467,0.14547495272995115,0.002232728511456669,2.8603441100373506e-05,5.976412794114965e-08
15,6.239879182694676e-10,7.246873162379412e-08,1.837735906420618e-05,0.002609326093115144,0.13465323299242862,0.9885818442910658,0.15532914317928814,0.003513734926016849,3.557822111414415e-05,1.6970435581908066e-07
16,1.5362419704623143e-09,1.7639454279592882e-07,2.3221905212990103e-05,0.003975155832216888,0.14417865229500465,0.9848052413004678,0.18622016465454033,0.004021489557905983,6.30621329106454e-05,2.248443733081096e-07
17,3.878999852354503e-09,4.1993369703428985e-07,2.99763809334857e-05,0.006314906815436642,0.15381392471147837,0.97854130015493,0.23022437339023163,0.004618110461706444,0.00011571068658042419,3.10216405342663e-07
18,6.817287765589707e-09,6.341447279819299e-07,5.0786652205571686e-05,0.007772623340224036,0.17335876738716377,0.973320083759187,0.2530967317196988,0.006096905911153302,0.0001530578206666715,6.098761236871172e-07
19,1.0661525264333203e-08,9.284187054583098e-07,6.467472418584173e-05,0.009425344287160103,0.1833316675688822,0.9684044174710397,0.27645943956287056,0.00695503144477449,0.00019862621345289442,8.275460017028074e-07
20,1.3819902787179762e-08,1.1184924192416637e-06,8.189279649212113e-05,0.01033456556030371,0.19337617052309636,0.9651657184158098,0.28827601074141573,0.007913457504874587,0.0002253278835808646,1.1156736977400257e-06
21,1.792660842200784e-08,1.3515991148766264e-06,0.00010209357884229549,0.011310487539146367,0.20354073997386024,0.9617161196363775,0.300144327238316,0.008956450228136374,0.0002555724091751522,1.4697529467427974e-06
22,5.660711728497494e-08,3.2806359192508966e-06,0.00024382832868068228,0.016251289385745056,0.25650917439998766,0.9441535327838196,0.3470742691922239,0.015268498605183926,0.00044441540708748696,4.172520408975751e-06
23,8.292658137195414e-08,4.676541681302114e-06,0.00028674051940376637,0.019101595225124002,0.2671914427076232,0.9364830926708416,0.37080585498216057,0.016845717370425454,0.0005640727800335099,5.113624617293512e-06
24,1.349332322763847e-07,5.746853728756831e-06,0.0005126016277083778,0.020737443539998596,0.31038011530009024,0.9253558759904154,0.38232463611336787,0.02417641010386737,0.0006425493092165971,1.0531791729165684e-05
25,2.112023652637095e-07,8.571118401474663e-06,0.0006556982695736355,0.02433387925997677,0.33227681687893945,0.9141419630902767,0.40517592266945285,0.02838284417185229,0.0008299476208510204,1.4208339467903525e-05
26,2.842356654812358e-07,1.0406181048883625e-05,0.0008302513194338652,0.026300946045647144,0.35405252722381,0.9056186403642574,0.41638925991279996,0.03305593639357143,0.0009409023835050403,1.9048050899306825e-05
27,3.503138133362853e-07,1.2539620591013721e-05,0.0009289693477832981,0.028374020000834343,0.3648955318455583,0.8993707880449917,0.4275390447542954,0.03555426422956802,0.0010632482077776396,2.1910630555709293e-05
28,4.850634802729974e-07,1.7698611880560402e-05,0.0010372787775746143,0.0328119484967966,0.37563214870150663,0.889126245118771,0.4496627016939734,0.03817515382448949,0.0013403156630900203,2.5171765021653827e-05
29,1.277739367986285e-06,4.4324372561501484e-05,0.0015697312447862308,0.04887912016259738,0.4178766271719157,0.8521544450397925,0.5127774735085968,0.04984398057489934,0.0025288618765278246,4.257119000260867e-05
30,1.6653888160672096e-06,5.6528710428129646e-05,0.0017537568528038954,0.054945334231977325,0.42770262991786373,0.839765362158331,0.5332242789531537,0.05322286427070864,0.003022618605995096,4.9581763451670947e-05
31,1.954193203821476e-06,6.357077424897688e-05,0.001959773536854867,0.05813403280105862,0.437353733990769,0.8318061961377091,0.5431859087249336,0.05677991534925288,0.003294373446356062,5.7846466071756074e-05
32,2.4479359727804735e-06,7.18813049378838e-05,0.002419091218440599,0.06148105837913978,0.456448384265809,0.8203884002132158,0.5527220215515131,0.06428519779775209,0.0035963465286470583,7.714652696230685e-05
33,2.871065616304843e-06,8.115939230344892e-05,0.0026737771334340485,0.06494871141133558,0.46577552002594375,0.8121119092117026,0.562172900672387,0.06823258242575035,0.003920997838532761,8.832635977456087e-05
34,3.676322706746335e-06,0.00010244652329256136,0.00294857096687711,0.07220726620607626,0.474802277964401,0.7987056547865106,0.5807348635666126,0.07232211730531465,0.004632344779161642,0.00010080157659461301
35,5.506117963917904e-06,0.00015502337251137373,0.0032525282162874872,0.08783301383419317,0.48314446130671335,0.7743283062144866,0.6164749740265549,0.07659058032428684,0.006274272228571459,0.00011528772009618562
36,6.7108328116137845e-06,0.00017145214181701765,0.003973978914956222,0.09200995215981579,0.49983077492842726,0.7621443644382535,0.624592820001868,0.08575650781325235,0.006748858590417816,0.00015262431369492287
37,8.203923155446367e-06,0.00019043666326367225,0.004786290271214652,0.09634295275213271,0.516055328150959,0.7498020864748706,0.6323140428560444,0.09544627720957849,0.007268371892433723,0.0001968667824433117
38,9.437258321789372e-06,0.0002113220108979812,0.005230526113632341,0.10079327337031799,0.5238335437451912,0.7409220824114042,0.6400264125789784,0.10049131539145356,0.007820887652354133,0.00022202614839989286
39,1.3606839352656103e-05,0.0003099581575642511,0.0057047918411982325,0.11950682336462755,0.5305396127193677,0.7157278533119389,0.67014964239095,0.10567130833004278,0.010287273335605843,0.0002497373075820758
40,1.546047802875799e-05,0.000338793240177643,0.006243382975497673,0.1244005528181946,0.5374715266193195,0.7068277734301545,0.677049566103015,0.1110974295638963,0.010970605878357772,0.0002833772284022054
